Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
34,B001EO5QW8,A3PMM0NFVEJGK9,"Megan ""Bad at Nicknames""",13,13,4,1166313600,Good Instant,this is a good instant oatmeal from the best oatmeal brand  it uses cane sugar instead of high fructouse corn syrup so not only does it have a better sweetness but some doctors now say that this form of sugar is better for you  great on a cold morning when you dont have time to make mccanns steel cut oats  the apple cinnamon is the best but the maple and brown sugar or the regular are good too  plus they dont require doctoring to actually tell the three flavors apart
35,B001EO5QW8,A2EB6OGOWCRU5H,CorbyJames,9,9,5,1175212800,Great Irish oatmeal for those in a hurry!,instant oatmeal can become soggy the minute the water hits the bowl mccanns instant oatmeal holds its texture has excellent flavor and is good for you all at the same time mccanns regular oat meal is excellent too but may take a bit longer to prepare than most have time for in the morning this is the best instant brand ive ever eaten and a very close second to the noninstant varietybr br mccanns instant irish oatmeal variety pack of regular apples  cinnamon and maple  brown sugar 10count boxes pack of 6
36,B001EO5QW8,A2CI0RLADCRKPF,T. J. Ryan,3,3,4,1210464000,satisfying,mccanns instant irish oatmeal variety pack of regular apples  cinnamon and maple  brown sugar 10count boxes pack of 6br br im a fan of the mccanns steelcut oats so i thought id give the instant variety a try i found it to be a hardy meal not too sweet and great for folks like me postbariatric surgery who need food that is palatable easily digestible with fiber but wont make you bloat
37,B001EO5QW8,A1MYS9LFFBIYKM,"Abby Chase ""gluten free""",2,2,5,1190851200,Love Gluten Free Oatmeal!!!,for those of us with celiac disease this product is a lifesaver and what could be better than getting it at almost half the price of the grocery or health food store  i love mccanns instant oatmeal  all flavorsbr br thanksbr abby
38,B001EO5QW8,A3MGP2E1ZZ6GRB,"Zardoz ""focuspuller""",1,1,5,1238457600,it's oatmeal,what else do you need to know oatmeal instant make it with a half cup of lowfat milk and add raisinsnuke for 90 seconds more expensive than kroger store brand oatmeal and maybe a little tastier or better texture or something its still just oatmeal mmm convenient
39,B001EO5QW8,A2GHZ2UTV2B0CD,JERRY REITH,0,0,4,1350777600,GOOD WAY TO START THE DAY....,i was visiting my friend nate the other morning for coffee  he came out of his storage room with  a packet of mccanns instant irish oatmeal  he suggested that i try it for my own use in my stash  sometimes nate dose not give you a chance to say no  so i ended up trying the apple and cinn  found it to be very tastefull when made with water or powdered milk  it goes good with oj and coffee and a slice of toast and your ready to take on the worldor the day at least  jerry reith
40,B001EO5QW8,AO80AC8313NIZ,kYpondman,0,0,5,1317168000,Wife's favorite Breakfast,i ordered this for my wife as it was reccomended by our daughter  she has this almost every morning and likes all flavors  shes happy im happybr a hrefhttpwwwamazoncomgpproductb001eo5qw8mccanns instant irish oatmeal variety pack of regular apples  cinnamon and maple  brown sugar 10count boxes pack of 6a
41,B001EO5QW8,AQCY5KRO7489S,Garrett,0,0,5,1303430400,Why wouldn't you buy oatmeal from Mcanns? Tastes great!,the variety packs taste greatbr br i have them every morning at 030 cents per meal i dont understand why everyone on earth isnt buying this stuff upbr br maple and brown sugar is terrific followed by apples and cinnamon followed by regular you dont get tired of the same ole thing and they taste greatbr br i just boil water from a small pot empty the packet or 2 in a bowl pour in boiling water and watch it expand to 2x its sizebr br taste really good and takes minutes to preparebr br not sure why everyone on earth isnt this convenient healthy very quick excellent quality and extremely cheap
42,B001EO5QW8,A1WK4ALVZDYPUE,"Dick Baldwin ""christobe""",0,0,5,1302134400,Oatmeal For Oatmeal Lovers,mccanns makes oatmeal for every oatmeal connoisseur whether one likes it from the raw pellet state that cooks for half an hour to the sloth addled instant which can be done in the microwave for under three minutes its all good thats for sure and the beauty of the instant variety is that it is available in different flavors as well as regularbr   this variety pack allows different tastes to be explored as well as giving you a chance to experience the difference between mccanns and other wellknown oatmeals what i personally like about mccanns is that it cooks up thicker and with more body than the top brand here in america the apples  cinnamon though tends to be a little liquidy so you may want to experiment with the amount of water you add in my 1300watt microwave the oatmeal cooks up in about one minute and twentyseven seconds so you should also watch that to get a handle on how much time and water to usebr   the only bad thing  if you can consider it a bad thing  about this offering is that you have to buy in lot so youll end up with six tencount boxes this is good if you have a whole family of oatmealeaters but if youre a single person alone  well love oatmeal
43,B001EO5QW8,A16XFOYQSJREL7,Roger Pugliese,0,0,5,1287014400,Food-Great,i have mccanns oatmeal every morning and by ordering it from amazon i am able to save almost 300 per boxbr it is a great product tastes great and very healthy
44,B001EO5QW8,A17DW6SUOC70DJ,Mother of 9,0,0,5,1255392000,Good Hot Breakfast,mccanns oatmeal is a good quality choice  our favorite is the apples and cinnamon but we find that none of these are overly sugary  for a good hot breakfast in 2 minutes this is excellent
45,B001EO5QW8,A2G7B7FKP2O2PU,D. Leschke,0,0,5,1209686400,Great taste and convenience,we really like the mccanns steel cut oats but find we dont cook it up too oftenbr this tastes much better to me than the grocery store brands and is just as convenientbr anything that keeps me eating oatmeal regularly is a good thing
46,B001EO5QW8,A39Z97950MCTQE,K. A. Freel,0,0,3,1205193600,Hearty Oatmeal,this seems a little more wholesome than some of the supermarket brands but it is somewhat mushy and doesnt have quite as much flavor either  it didnt pass muster with my kids so i probably wont buy it again
47,B001EO5QW8,AQLL2R1PPR46X,grumpyrainbow,0,0,5,1192752000,good,good oatmeal  i like the apple cinnamon the best  though i wouldnt follow the directions on the package since it always comes out too soupy for my taste  that could just be me since i like my oatmeal really thick to add some milk on top of
48,B001EO5QW8,A26AY1TFK8BQXQ,"kbogo ""shoelover""",1,2,3,1200096000,Mushy,the flavors are good  however i do not see any differce between this and oaker oats brand  they are both mushy
49,B001EO5QW8,ALOR97KTZTK1P,knitty pants,1,2,4,1191715200,Very good but next time I won't order the Variety Pack,i really like the maple and brown sugar flavor the regular is fine with brown sugar added the apples and cinnamon flavor is ok this is a very quick easy and satisfying breakfast and ill order this brand again but not the variety ill get all maple and brown sugar
50,B001EO5QW8,A276999Y6VRSCQ,JMay,0,1,3,1334016000,Same stuff,this is the same stuff you can buy at the big box stores  there is nothing healthy about it  it is just carbs and sugars  save your money and get something that at least has some taste
51,B001EO5QW8,A108P30XVUFKXY,Roberto A,0,7,1,1203379200,Don't like it,this oatmeal is not good its mushy soft i dont like it quaker oats is the way to go
52,B000G6RPMY,A3S5KJDA6ED2PS,Mike Kaser,4,4,5,1243900800,HOT!  And good!  Came back for more  :),got a free package of these with a bottle of bloody mary mix i bought from the seller and the advertising workedlol  i tried them and shared them with 2 buddies and we all loved them  so im here to buy more and noticed there were no reviews yet  well now there is  they are hot  but not burn your mouth forever hot  its a nice temp  perfect for us
53,B000G6RPMY,A9L6L5H9BPEBO,Edwin C. Pauzer,1,1,4,1348876800,You'll go nuts over Ass-Kickin' Peanuts.,this wasnt in stock the last time i looked i had to go to the vermont country store in weston to find it along with a jaw harp cranberry horseradish sauce fartless black bean salsa apple cider jelly newtons cradle art in motion and the staple vermont maple syrupbr br back to the ass kickin peanuts they are hot they will activate the perspiration glands behind your ears and under your arms it requires a beverage as advertised a glass of very cold milk and a box of kleenex since it will make your nose run they look like ordinary peanuts which is already giving me ideas for work i suspect that some people have been hitting my goodies in my absence especially my colleague greg im going to take this to work at earliest opportunity and empty the contents of this can into an ordinary planters peanuts can and then see whose crying or whose nose is running when i returnbr br the can should be shaken to ensure the spices are evenly distributed it is important to wash your hands after consumption and not touch the eyesbr br youll go nuts over these asskickin peanutsbr br ps im not sharing the peanuts not deliberately and ill probably give greg the jaw harp for christmas hell be so insulted
54,B000G6RPMY,AQ9DWWYP2KJCQ,"Roel Trevino ""protomex""",0,0,3,1278028800,not ass kickin,were used to spicy foods down here in south texas and these are not at all spicy  doubt very much habanero is used at all  could take it up a notch or two
55,B002GWHC0G,A1ND7WC5LXOU48,"David Belton ""Proteus 1""",2,2,4,1322438400,Roasts up a smooth brew,i roast at home with a stovetop popcorn popper but i do it outside of course these beans coffee bean direct green mexican altura seem to be wellsuited for this method the first and second cracks are distinct and ive roasted the beans from medium to slightly dark with great results every time the aroma is strong and persistent the taste is smooth velvety yet lively
56,B002GWHC0G,A2EFAW1P3DRXWO,TJ Fairfax,0,0,5,1349395200,Our guests love it!,we roast these in a large cast iron pan on the grill about 13 of the bag at a time  the smell is wonderful and the roasted beans taste delicious too  more importantly the coffee is smooth no bitter aftertaste  on numerous occasions weve had to send the roasted beans home with friends because they like it so much
57,B004N5KULM,A202WR509428VF,amateur amazon shopper,2,2,5,1322438400,Awesome Deal!,deal was awesome  arrived before halloween as indicated and was enough to satisfy trick or treaters  i love the quality of this product and it was much less expensive than the local stores candy
58,B004N5KULM,ASCNNAJU6SXF8,S. Beck,1,1,5,1336176000,How can you go wrong!,it is chocolate what can i say  great variety of everything our family loves  with a family of six it goes fast here  perfect variety  kit kat reeses take five and more
59,B004N5KULM,A2A7KXM9B4XW90,"P. Kelso ""Amazon all the way!""",0,0,5,1320364800,Awsome - Kids in neighborhood loved us!,great product nice combination of chocolates and perfect size  the bags had plenty and they were shipped promptly  the kids in the neighborhood liked our candies
60,B004N5KULM,A2QOGOXPOVKAJG,mimimc,0,0,5,1320105600,great deal.,halloween is over but i sent a bag to my daughters class for her share the chocolate was fresh and enjoyed by many
61,B004N5KULM,A1ZR8O62VSU4OK,"Lisa J. Szlosek ""lisa""",2,4,3,1318723200,Better price for this at Target,watch your prices with this  while the assortment was good and i did get this on a gold box purchase the price for this wasbr 34 less at target
62,B004N5KULM,A7ZK2A3VIW7X9,Peggy,0,2,5,1319414400,pretty expensive,this bag of candy online is pretty expensive it should be cheaper in order to compete with grocery stores other than that its a good combination of my favorite candy
63,B001EO5TPM,A1E09XGZUR78C6,gary sturrock,2,2,1,1215302400,stale product.,arrived in 6 days and were so stale i could not eat any of the 6 bags
64,B005DUM9UQ,A3HR0ZZOFKQ97N,RLC,3,3,5,1333497600,Hammer Nutrition 's Fizz Rocks!,i have used the endurolyte product for several years in both pill and powder form  long desert rides on the dirt bike always found my camelbak water heavily laced with the endurolyte powder not overly tasty but quite effective as i never got a cramp on these several hundred mile rides  same for desert racing in the buggy the camelbaks were always laced with the powder  now we have the fizzwhat a great product  firstly its hammers endurolyte product so its great endurance athletes the world over use their products second its convenient handly tablets that dissovle in a fizz  third it tastes great imagine getting a nice cool drink when your body is starving for hydration and electrolytes and rather than getting a salty taste you get a refreshing lemonlime or mango  the camelbaks always get the fizz now  i also drop a tablet in my bottled water whenever i exercise and have a nice flavored water chock full of electrolytes i cannot recommend this product or any hammer product highly enough
65,B005DUM9UQ,A2XIHNXODNZGV4,"ChemProf ""chem professor""",1,1,5,1333584000,great source of electrolytes,this product serves me well as a source of electrolytes during and after a long run or bike ridebr i have tried all of the flavors but really do like the grapefruit flavor no aftertaste and i actually like the slight carbonationbr i use other hammer products and really like their whole product line
66,B005DUM9UQ,A3TWF9DQ6MU87E,dhy4b,1,1,5,1331510400,Great for preventing cramps,this stuff really works for preventing cramping during the middle to latter stages of your rides pop 1 into each water bottle and youre set flavor is fine and goes down easy
67,B005DUM9UQ,AEFIZIJ1FK1BK,Doug,0,0,5,1345161600,Low Carb Alternative to Gatorade,for those of us on a low carb diet these little tablets are just the thingbr br two years ago i started cycling again after many years but was having heart arrhythmia after longer rides in high heat  i was drinking plain water but did a little research and thought electrolytes might be the issue  gatorade wasnt an option because it is so loaded with carbohydrates so i looked around for a lowcarb alternative  the zero carb sports drinks didnt help so what to do  one day i ran across these at my bike shop so tried a tube of themvoilaproblem solvedbr br ive shared them with two friends in particular whose problems with leg cramps were resolved while using thesebr br these guys got it right  they are superbly formulated and simply work
68,B005DUM9UQ,A8OFFIAL6XTOH,Bill Shirer,0,1,2,1338422400,Taste is not so good.,i purchased the mango flavor and to me it doesnt take like mango at all  there is no hint of sweetness and unfortunately there is a hint or aftertaste almost like licorice  ive been consuming various sports nutrition products for decades so im familiar and have come to like the taste of the most of the products ive tried  the mango flavor is one of the least appealing ive tasted  its not terrible but its bad enough that i notice the bad taste every sip i take
69,B000E7VI7S,A1KL2LAW08X6UQ,calmnsense,0,0,3,1169251200,How much would you pay for a bag of chocolate pretzels?,if youre impulsive like me then 6 is ok dont get me wrong the quality of these babies is very good and i have no complaints but in retrospect the price is a little ridiculous esp when you add on the shipping
70,B000E7VI7S,AWCBF2ZWIN57F,C. Salcido,0,2,5,1185753600,pretzel haven!,this was sooooo deliscious but too bad i ate em too fast and gained 2 pds my fault
71,B001GVISJC,A27TKQHFW0FB5N,Chet,2,2,5,1254355200,Great Gummi!,these albanese gummi bears and rings and so on are very good and tasty and high quality the bears even have little faces at my local candy store this type of gummi stuff bears rings snakes balls worms whatever are about 10lb these twin packs of 45 or 5 pound bags is a screaming deal as far as im concerned im probably 50 pounds deep in these friggin things consumed
72,B001GVISJC,A3BDOAPSF96WGQ,2tall,1,1,5,1289260800,Bigger then other brands,grape gummy bears are hard to find in my area in fact pretty much anyone i talk to about grape gummy bears they think im lying so i bought 10lbs   these bears are a little bit bigger then the other brands and have kind of sour kick but nothing to strong i love grape flavored candysoda and these are pretty good there is another company that makes grape gummy bears that are a little bit better in my opinion but these are well worth it for the price i like to use the gummy bears in home made popsicles with flavored sports drink the salt in the sports drink makes for softer popsicles and the gummy bears are awesome frozen they are delicious
73,B006SQBRMA,ATYMT48R62ENE,Marie,0,0,5,1327017600,Best ever latice tart,i ordered two of these and two of raspberry latice tarts directly from fantasicakes website for a dinner party i was hosting it arrived fresh and intact very good size i froze half for later use i am a pastry lover and these were the best ive ever tasted the pastry was soft the jam was really good and the taste was great they were gone in no time my guests were really impressed
74,B0059WXJKM,A25VFHVGI4CFTP,Diana Robinson,0,1,1,1335744000,Warning!  WARNING!  -ALCOHOL SUGARS!,buyer beware please this sweetener is not for everybody  maltitol is an alcohol sugar and can be undigestible in the body  you will know a short time after consuming it if you are one of the unsuspecting many who cannot digest it by the extreme intestinal bloating and cramping and massive amounts of gas a person can experience nausea diarrhea  headaches can also be experienced i learned my lesson the hard way years ago when i fell in love with the sugarfree chocolates suzanne sommers used to sell  i thought id found sugarfree chocolate nirvana at first taste but the bliss was short lived when the terrible side effects of maltitol kicked in  the discomfort was unlike anything i had ever felt before  i blew up like a balloon and had very painful abdominal cramping  as the symptoms passed this too was very unpleasant  though hard for me to believe a low calorie sweetener could be the culprit all symptoms were gone when i stopped eating the chocolate my hunch it had something to do with the maltitol were unfortunately confirmed for me about a year later when i purchased some delicious sugarfree popcorn at my local market  the taste was amazing and while i was looking at the label wondering what could possibly make this yummy new sugarfree treat taste so good my heart sank when i followed the little asterisk next to sugarfree sweetener down to the very bottom of the label and read maltitol in tiny little letters thank goodness id eaten only a little i still ended up with all the same sideeffects but for a much shorter duration some people can use maltitol to their hearts content but others like me can have a bad reaction to it in case youre like me  its not you its the maltitol
75,B001EPPI84,A3Q0IDQ03S0158,Jen,0,0,2,1287705600,nothing special,it is okay  i would not go out of my way to buy it again
76,B001EPPI84,A27TZ4WBU7N0YF,I. So,0,0,1,1275004800,No Tea Flavor,no tea flavor at all just whole brunch of artifial flavors it is not returnable i wasted 20 bucks
77,B004X2KR36,A2W3ABLWMJ84NS,Jessica Snyder,0,0,5,1348444800,Good,these looked like a perfect snack to through in with my trail mix  unfortunately they arrived in a solid mass of melted chocolate  i left them in my pantry for a few days and when i opened them at room temperature they were still gooey  i through them in the fridge and ive been breaking off hunks ever since  they taste good to me but the chocolate is all grainy after melting and then solidifying again  i wont order them online again but if i see them in a store i would pick them up
78,B004X2KR36,A26M5O53PHZTKN,"Debs ""peanut""",0,0,5,1348185600,Taste great,these taste really good i have been purchasing a different brand and these are very similar in taste and texture i agree with the other reviewer regarding ordering in the summer there is no insulating packaging with ice packs so they will melt in warm weather like all chocolate food items order in cold weather and buy enough to last
79,B004X2KR36,A2AB7M9UCNBVN7,sharonh4,0,0,3,1346976000,Order only in cold weather,the taste was great but the berries had melted  may order again in winter if you order in cold weather you should enjoy flavor
80,B005R8JE8O,A3H1EQD2PBC085,jmc,0,0,5,1344902400,this is the best,i know i cannot make tea this good  granted i am not from the south but i know i have never enjoyed tea that was this sweet without being too sweet  it tastes crisp
81,B0066DMI6Y,AB30HQTI5VOLR,Melinda Bishop,1,1,5,1325116800,Delicious!,this peppermint stick is delicious and fun to eat  my dad got me one for christmas because he remembered me having a similar one when i was a little girl  im 30 now and i love it
82,B0066DMI6Y,AZLONLC8OZPEC,John W. Hollis,1,1,4,1324598400,Great,great gift for all ages i purchased these giant canes before and the recipients loved them so much they kept them and would not eat them
